id,dataset_name,folding,method
RNaseP_P.shigelloides,archiveII,"[[6, 302], [7, 301], [8, 300], [10, 299], [11, 298], [12, 297], [13, 296], [14, 295], [16, 275], [17, 274], [18, 273], [20, 270], [21, 269], [22, 268], [23, 267], [25, 265], [26, 264], [27, 263], [32, 46], [33, 45], [34, 44], [35, 43], [36, 42], [37, 41], [48, 59], [49, 58], [50, 57], [51, 56], [63, 261], [64, 260], [65, 259], [67, 257], [68, 256], [69, 255], [70, 254], [71, 253], [77, 245], [78, 244], [79, 243], [80, 242], [81, 241], [82, 240], [84, 239], [85, 238], [86, 236], [87, 235], [88, 234], [91, 112], [92, 111], [93, 110], [94, 108], [95, 107], [96, 106], [97, 105], [98, 104], [99, 103], [113, 196], [114, 195], [115, 194], [120, 190], [121, 189], [126, 185], [127, 184], [128, 183], [129, 182], [130, 181], [132, 179], [133, 178], [134, 177], [138, 174], [140, 172], [141, 171], [144, 168], [145, 167], [146, 166], [147, 165], [148, 164], [150, 163], [151, 162], [152, 161], [153, 160], [154, 159], [203, 232], [204, 231], [205, 230], [206, 229], [207, 228], [208, 227], [209, 226], [213, 225], [214, 224], [215, 223], [216, 222], [217, 221], [280, 292], [281, 291], [282, 290], [283, 289], [284, 288]]",RNAfold
tRNA_tdbR00000195-Rattus_norvegicus-10116-Lys-CUN,archiveII,"[[1, 72], [2, 71], [3, 70], [4, 69], [5, 68], [6, 67], [7, 66], [10, 25], [11, 24], [12, 23], [13, 22], [30, 48], [31, 47], [32, 46], [33, 45], [34, 44], [35, 43], [49, 65], [50, 64], [51, 63], [52, 62], [53, 61]]",RNAfold
5s_Russula-cyanoxantha-1,archiveII,"[[3, 116], [4, 115], [5, 114], [6, 113], [7, 112], [8, 111], [9, 110], [14, 65], [15, 64], [16, 62], [17, 61], [18, 60], [19, 59], [20, 58], [21, 57], [24, 53], [25, 52], [26, 51], [29, 48], [30, 47], [31, 46], [32, 45], [33, 42], [34, 41], [66, 109], [67, 108], [68, 107], [69, 106], [70, 105], [71, 104], [75, 102], [76, 101], [78, 99], [79, 98], [81, 97], [82, 96], [83, 94], [84, 93], [85, 92], [86, 91]]",RNAfold
tRNA_tdbR00000395-Saccharomyces_cerevisiae-4932-Ser-GCU,archiveII,"[[1, 82], [2, 81], [3, 80], [4, 79], [5, 78], [6, 77], [10, 39], [11, 38], [12, 37], [16, 35], [17, 34], [18, 33], [19, 32], [20, 31], [21, 30], [44, 56], [45, 55], [46, 54], [47, 53], [48, 52], [58, 76], [59, 75], [60, 74], [61, 73], [62, 72], [63, 71]]",RNAfold
5s_Halorubrum-distributum-4,archiveII,"[[3, 119], [4, 118], [5, 117], [6, 116], [7, 115], [8, 114], [9, 113], [14, 66], [15, 65], [16, 63], [17, 62], [18, 61], [19, 60], [20, 59], [21, 58], [24, 54], [25, 53], [26, 52], [29, 49], [30, 48], [31, 47], [32, 46], [67, 112], [69, 111], [70, 110], [71, 108], [72, 107], [73, 106], [74, 105], [80, 100], [81, 99], [82, 98], [83, 97], [84, 96], [85, 95], [87, 94], [88, 93]]",RNAfold
5s_Salmonella-enterica-4,archiveII,"[[2, 118], [3, 117], [4, 116], [5, 115], [6, 114], [7, 113], [8, 112], [9, 111], [10, 110], [20, 31], [21, 30], [22, 29], [23, 28], [33, 88], [34, 87], [35, 86], [36, 85], [37, 84], [38, 83], [39, 82], [40, 81], [41, 80], [42, 79], [46, 77], [47, 76], [49, 75], [50, 74], [54, 70], [55, 69], [56, 68], [59, 65], [60, 64], [91, 107], [92, 106], [93, 105], [95, 104], [96, 103], [97, 102]]",RNAfold
srp_Stre.muta._AE014879,archiveII,"[[3, 93], [4, 92], [5, 91], [6, 90], [7, 89], [12, 84], [13, 83], [14, 82], [15, 81], [16, 80], [17, 79], [18, 77], [19, 76], [20, 75], [21, 74], [22, 73], [23, 72], [24, 71], [26, 70], [27, 69], [28, 68], [29, 67], [33, 65], [34, 64], [35, 60], [36, 59], [37, 58], [38, 57], [43, 52], [44, 51], [45, 50]]",RNAfold
tmRNA_Baci.G._TRW-12333_1-312,archiveII,"[[1, 308], [2, 307], [3, 306], [4, 305], [5, 304], [6, 303], [7, 302], [20, 281], [21, 280], [22, 279], [23, 278], [24, 277], [25, 276], [26, 275], [32, 269], [33, 268], [34, 267], [35, 266], [36, 265], [38, 264], [39, 263], [40, 262], [41, 261], [42, 254], [43, 253], [44, 252], [45, 251], [46, 250], [47, 249], [49, 248], [50, 247], [51, 246], [54, 70], [55, 69], [56, 68], [57, 67], [58, 66], [72, 85], [73, 84], [74, 83], [75, 82], [76, 81], [92, 158], [93, 157], [94, 156], [95, 155], [96, 154], [98, 152], [99, 151], [100, 150], [101, 149], [102, 148], [103, 147], [104, 146], [105, 117], [106, 116], [107, 115], [108, 114], [129, 141], [130, 140], [131, 139], [132, 138], [133, 137], [162, 241], [163, 240], [164, 239], [165, 238], [166, 237], [167, 236], [168, 235], [169, 234], [170, 202], [171, 201], [172, 200], [173, 199], [174, 198], [176, 196], [177, 195], [178, 194], [179, 193], [180, 192], [181, 191], [182, 190], [183, 189], [184, 188], [206, 223], [207, 222], [208, 221], [210, 219], [211, 218], [285, 301], [286, 300], [287, 299], [288, 298], [289, 297]]",RNAfold
5s_Haloarcula-marismortui-2,archiveII,"[[4, 119], [5, 118], [6, 117], [7, 116], [8, 115], [9, 114], [16, 64], [17, 63], [18, 62], [19, 61], [20, 60], [21, 59], [23, 57], [24, 56], [25, 55], [27, 53], [28, 52], [30, 50], [31, 49], [32, 48], [33, 47], [66, 91], [67, 90], [68, 89], [69, 88], [70, 85], [71, 84], [72, 83], [73, 82], [74, 81], [92, 113], [93, 112], [94, 111], [95, 110], [96, 109], [100, 108], [101, 107]]",RNAfold
5s_Prosthecomicrobium-enhydrum-1,archiveII,"[[1, 118], [2, 117], [3, 116], [4, 115], [5, 114], [6, 113], [7, 112], [8, 111], [9, 110], [10, 109], [11, 108], [13, 106], [14, 105], [15, 104], [16, 68], [17, 67], [18, 66], [19, 64], [20, 63], [21, 62], [22, 61], [23, 60], [28, 56], [29, 55], [30, 54], [32, 50], [33, 49], [34, 48], [35, 45], [36, 44], [69, 77], [70, 76], [71, 75], [79, 96], [80, 95], [81, 94], [82, 93], [83, 92], [84, 91], [85, 90]]",RNAfold
srp_Gibb.moni._GSP-334819,archiveII,"[[1, 13], [2, 12], [3, 11], [4, 10], [16, 290], [17, 289], [18, 288], [19, 287], [20, 286], [24, 284], [25, 283], [26, 282], [27, 280], [28, 279], [29, 278], [30, 277], [34, 273], [36, 271], [37, 270], [38, 269], [39, 268], [40, 267], [41, 266], [45, 262], [46, 261], [47, 260], [49, 259], [50, 258], [51, 257], [52, 256], [53, 255], [54, 254], [55, 253], [58, 79], [59, 78], [60, 77], [61, 76], [63, 74], [64, 73], [65, 72], [66, 71], [80, 250], [81, 249], [82, 248], [83, 247], [84, 246], [85, 245], [86, 244], [87, 243], [88, 241], [89, 238], [90, 237], [91, 236], [93, 231], [94, 230], [95, 229], [96, 228], [97, 227], [98, 226], [99, 225], [100, 224], [102, 221], [103, 220], [104, 219], [105, 218], [107, 216], [108, 215], [109, 214], [110, 213], [112, 158], [113, 157], [114, 156], [115, 155], [116, 154], [117, 153], [118, 146], [119, 145], [120, 144], [121, 142], [122, 140], [123, 139], [124, 138], [125, 137], [126, 136], [128, 135], [129, 134], [166, 183], [167, 182], [169, 180], [170, 179], [171, 178], [184, 209], [185, 208], [186, 207], [187, 206], [188, 205], [189, 204], [190, 203], [191, 202], [192, 201]]",RNAfold
5s_Xanthomonas-campestris-1,archiveII,"[[2, 117], [3, 116], [4, 115], [5, 114], [6, 113], [7, 112], [8, 111], [9, 110], [10, 109], [16, 68], [17, 67], [18, 65], [19, 64], [20, 63], [21, 62], [22, 61], [23, 60], [28, 56], [29, 55], [30, 54], [31, 51], [32, 50], [33, 49], [34, 48], [35, 45], [36, 44], [69, 106], [70, 105], [71, 104], [73, 102], [74, 101], [79, 96], [80, 95], [81, 94], [82, 93], [83, 92], [84, 91], [85, 90]]",RNAfold
grp1_a.I1.e.Staurastrum.sp.M753.C1.SSU.1506,archiveII,"[[5, 23], [6, 22], [7, 21], [9, 19], [10, 18], [24, 373], [25, 372], [26, 371], [27, 370], [28, 369], [29, 368], [30, 367], [31, 366], [37, 360], [38, 359], [39, 358], [40, 357], [41, 356], [42, 355], [43, 354], [44, 353], [45, 352], [47, 350], [49, 94], [50, 93], [51, 92], [52, 91], [53, 90], [54, 89], [57, 64], [58, 63], [68, 88], [69, 87], [70, 86], [71, 85], [74, 82], [75, 81], [76, 80], [97, 121], [98, 120], [99, 119], [100, 118], [101, 117], [102, 116], [103, 115], [104, 114], [105, 113], [106, 112], [107, 111], [125, 310], [126, 309], [127, 308], [128, 307], [129, 306], [130, 305], [131, 304], [134, 261], [135, 260], [136, 259], [137, 258], [138, 257], [139, 256], [140, 255], [145, 251], [146, 250], [147, 249], [148, 248], [153, 244], [154, 243], [155, 242], [156, 241], [158, 239], [159, 238], [160, 237], [161, 236], [162, 235], [163, 229], [164, 228], [165, 227], [166, 226], [169, 201], [170, 200], [171, 199], [172, 198], [175, 195], [176, 194], [177, 193], [178, 192], [179, 191], [180, 190], [202, 223], [204, 221], [205, 220], [206, 219], [207, 218], [208, 217], [209, 216], [266, 286], [267, 285], [268, 284], [269, 283], [270, 282], [271, 281], [272, 280], [273, 279], [274, 278], [288, 297], [289, 296], [290, 295], [311, 342], [312, 341], [313, 340], [314, 339], [315, 338], [316, 337], [317, 336], [318, 335], [319, 334], [320, 333], [321, 332], [322, 331], [323, 330], [377, 401], [378, 400], [379, 399], [381, 397], [382, 396], [383, 395], [384, 394], [385, 393], [386, 392], [404, 415], [405, 414]]",RNAfold
RNaseP_S.dairensis,archiveII,"[[1, 464], [2, 463], [3, 462], [4, 461], [5, 460], [6, 459], [7, 458], [8, 457], [9, 456], [10, 455], [11, 454], [12, 453], [13, 452], [14, 451], [17, 412], [18, 411], [19, 410], [20, 409], [21, 408], [22, 407], [23, 406], [32, 86], [33, 85], [34, 84], [35, 83], [36, 82], [47, 72], [48, 71], [49, 70], [50, 69], [51, 68], [55, 64], [56, 63], [57, 62], [87, 142], [88, 141], [89, 140], [93, 111], [94, 110], [95, 109], [96, 108], [98, 106], [99, 105], [114, 139], [115, 138], [116, 137], [117, 136], [119, 134], [120, 133], [121, 132], [122, 131], [123, 130], [124, 129], [145, 279], [146, 278], [147, 277], [148, 276], [149, 275], [150, 206], [151, 205], [152, 204], [153, 203], [156, 200], [157, 199], [158, 198], [159, 197], [172, 196], [173, 195], [174, 194], [175, 193], [176, 192], [177, 191], [179, 189], [180, 188], [211, 270], [212, 269], [213, 268], [214, 267], [215, 266], [216, 265], [217, 260], [218, 259], [219, 258], [220, 257], [221, 256], [222, 255], [223, 254], [224, 253], [232, 245], [233, 244], [234, 243], [235, 242], [236, 241], [282, 402], [283, 401], [286, 398], [287, 397], [288, 396], [289, 395], [290, 394], [291, 393], [292, 392], [293, 391], [298, 333], [299, 332], [300, 330], [301, 329], [302, 328], [304, 326], [305, 325], [306, 324], [307, 323], [310, 320], [311, 319], [312, 318], [313, 317], [334, 353], [335, 352], [336, 351], [337, 350], [338, 349], [340, 347], [341, 346], [360, 389], [361, 388], [362, 387], [363, 386], [364, 385], [365, 384], [366, 383], [367, 382], [369, 381], [370, 380], [371, 379], [413, 433], [414, 432], [415, 431], [416, 430], [417, 429], [418, 428], [419, 427], [438, 445], [439, 444]]",RNAfold
tmRNA_Syne.spec._AB003477_1-394,archiveII,"[[1, 390], [2, 389], [3, 388], [4, 387], [5, 386], [6, 385], [7, 384], [11, 381], [12, 380], [13, 379], [16, 376], [17, 375], [18, 374], [19, 373], [22, 370], [23, 369], [24, 368], [25, 367], [26, 40], [27, 39], [28, 38], [29, 37], [30, 36], [31, 35], [42, 85], [43, 84], [44, 83], [46, 81], [47, 80], [49, 78], [50, 77], [52, 71], [53, 70], [54, 69], [55, 68], [56, 67], [57, 66], [58, 64], [59, 63], [92, 353], [93, 352], [94, 351], [95, 350], [96, 349], [97, 348], [98, 347], [101, 114], [102, 113], [103, 112], [104, 111], [116, 346], [117, 345], [118, 344], [119, 343], [120, 342], [121, 341], [122, 340], [123, 339], [124, 338], [125, 337], [128, 143], [129, 142], [130, 141], [131, 140], [132, 139], [133, 138], [144, 153], [145, 152], [154, 335], [155, 334], [156, 333], [157, 332], [166, 331], [167, 330], [168, 329], [169, 328], [172, 326], [173, 325], [174, 324], [175, 207], [176, 206], [177, 205], [178, 204], [179, 203], [180, 202], [182, 200], [183, 199], [184, 198], [185, 197], [221, 278], [222, 277], [223, 276], [224, 275], [225, 274], [226, 273], [227, 272], [228, 271], [229, 253], [230, 252], [231, 251], [233, 250], [234, 249], [235, 248], [236, 247], [237, 246], [238, 244], [239, 243], [256, 262], [257, 261], [280, 301], [281, 300], [282, 299], [283, 298], [284, 297], [285, 296], [286, 295], [287, 294], [303, 315], [304, 314], [305, 313], [306, 312], [307, 311], [355, 366], [356, 365], [357, 364]]",RNAfold
5s_Agaricostilbum-pulcherrimum-1,archiveII,"[[1, 119], [2, 118], [3, 117], [4, 116], [5, 115], [6, 114], [7, 113], [8, 112], [9, 111], [14, 65], [15, 64], [16, 62], [17, 61], [18, 60], [19, 59], [20, 58], [21, 57], [29, 48], [30, 47], [31, 46], [32, 45], [33, 42], [34, 41], [66, 110], [67, 109], [68, 108], [69, 106], [70, 105], [71, 104], [78, 98], [79, 97], [80, 96], [81, 95], [82, 94], [84, 93], [85, 92], [86, 91]]",RNAfold
srp_Proc.mari._AE017165,archiveII,"[[2, 95], [3, 94], [4, 93], [5, 92], [6, 91], [7, 90], [8, 89], [9, 88], [11, 85], [12, 84], [13, 83], [14, 82], [15, 81], [16, 80], [17, 59], [18, 58], [19, 57], [20, 56], [23, 55], [26, 52], [27, 51], [28, 50], [29, 49], [33, 48], [34, 47], [35, 46], [36, 45], [37, 44], [38, 43], [61, 73], [62, 72], [63, 71], [64, 70]]",RNAfold
5s_Photobacterium-profundum-3,archiveII,"[[5, 117], [6, 116], [7, 115], [8, 114], [9, 113], [10, 112], [11, 111], [17, 109], [18, 108], [20, 106], [21, 105], [25, 104], [26, 103], [27, 102], [28, 101], [29, 99], [30, 98], [31, 97], [34, 89], [35, 88], [36, 87], [37, 86], [38, 85], [39, 84], [40, 83], [41, 82], [42, 81], [43, 80], [47, 78], [48, 77], [50, 76], [51, 75], [55, 71], [56, 70], [57, 69], [59, 67], [60, 66], [61, 65]]",RNAfold
tRNA_tdbR00000235-Neurospora_crassa-5141-Leu-NAA,archiveII,"[[1, 81], [2, 80], [3, 79], [4, 78], [5, 77], [6, 76], [7, 75], [9, 74], [10, 73], [15, 25], [16, 24], [17, 23], [27, 43], [28, 42], [29, 41], [30, 40], [31, 39], [44, 71], [45, 70], [46, 69], [47, 68], [48, 67], [49, 66], [51, 64], [52, 63], [54, 61], [55, 60]]",RNAfold
5s_Methanosarcina-mazei-2,archiveII,"[[1, 125], [2, 124], [3, 123], [4, 122], [5, 121], [6, 120], [7, 119], [8, 118], [9, 117], [10, 116], [11, 115], [16, 68], [17, 67], [18, 66], [19, 65], [20, 63], [21, 62], [22, 61], [23, 60], [28, 54], [29, 53], [31, 51], [32, 50], [33, 49], [34, 48], [69, 114], [71, 112], [72, 111], [73, 110], [82, 102], [83, 101], [84, 100], [85, 99], [86, 98], [87, 97], [89, 96], [90, 95]]",RNAfold
5s_Fusarium-lunulosporum-2,archiveII,"[[1, 119], [2, 118], [3, 117], [4, 116], [5, 115], [6, 114], [7, 113], [8, 112], [9, 111], [14, 66], [15, 65], [16, 64], [17, 62], [18, 61], [19, 60], [20, 59], [21, 58], [26, 52], [27, 51], [29, 48], [30, 47], [31, 46], [32, 45], [67, 110], [68, 109], [69, 108], [70, 107], [71, 106], [79, 99], [80, 98], [81, 97], [82, 96], [83, 95], [85, 94], [86, 93], [87, 92]]",RNAfold
5s_Fusarium-asiaticum-2,archiveII,"[[1, 119], [2, 118], [3, 117], [4, 116], [5, 115], [6, 114], [7, 113], [8, 112], [9, 111], [14, 66], [15, 65], [16, 64], [17, 62], [18, 61], [19, 60], [20, 59], [21, 58], [28, 48], [29, 47], [30, 46], [31, 44], [32, 43], [34, 41], [67, 110], [68, 109], [69, 108], [70, 107], [71, 106], [79, 99], [80, 98], [81, 97], [82, 96], [83, 95], [85, 94], [86, 93], [87, 92]]",RNAfold
RNaseP_C.pneumoniae-CWL029,archiveII,"[[1, 400], [2, 399], [3, 398], [4, 397], [5, 396], [6, 395], [7, 394], [8, 393], [9, 392], [10, 391], [11, 390], [13, 61], [14, 60], [15, 59], [16, 58], [19, 54], [20, 53], [22, 51], [23, 50], [25, 48], [26, 47], [27, 46], [28, 45], [29, 44], [30, 43], [31, 42], [32, 41], [33, 40], [65, 78], [66, 77], [67, 76], [68, 75], [82, 96], [83, 95], [84, 94], [85, 93], [86, 92], [98, 109], [99, 108], [100, 107], [101, 106], [111, 136], [112, 135], [113, 134], [114, 133], [117, 132], [118, 131], [119, 130], [137, 156], [138, 155], [139, 154], [140, 153], [141, 152], [142, 151], [143, 150], [144, 149], [159, 385], [160, 384], [161, 383], [162, 382], [163, 381], [164, 380], [170, 188], [171, 187], [172, 186], [173, 185], [174, 184], [175, 183], [176, 182], [177, 181], [189, 211], [190, 210], [191, 209], [192, 207], [193, 206], [194, 205], [195, 204], [196, 203], [197, 202], [214, 339], [215, 338], [216, 337], [217, 336], [219, 335], [220, 334], [222, 330], [223, 329], [224, 328], [225, 327], [226, 326], [227, 325], [231, 302], [232, 301], [233, 300], [234, 299], [236, 297], [237, 296], [238, 290], [239, 289], [240, 288], [241, 287], [242, 286], [243, 285], [244, 284], [245, 283], [247, 260], [248, 259], [249, 258], [250, 257], [251, 256], [261, 282], [262, 281], [263, 280], [264, 279], [266, 277], [267, 276], [268, 275], [269, 274], [304, 323], [305, 322], [306, 321], [307, 320], [309, 318], [310, 317], [311, 316], [341, 371], [342, 370], [343, 368], [344, 367], [345, 366], [346, 365], [347, 364], [348, 363], [349, 362], [350, 361], [351, 360], [352, 359], [353, 358]]",RNAfold
5s_Fusarium-pseudograminearum-3,archiveII,"[[1, 119], [2, 118], [3, 117], [4, 116], [5, 115], [7, 113], [8, 112], [9, 111], [14, 66], [15, 65], [16, 64], [17, 62], [18, 61], [19, 60], [20, 59], [21, 58], [28, 48], [29, 47], [30, 46], [31, 44], [32, 43], [34, 41], [67, 110], [68, 109], [69, 108], [70, 107], [71, 106], [79, 99], [80, 98], [81, 97], [83, 96], [84, 95], [85, 94], [86, 93]]",RNAfold
srp_Schi.pomb._M20836,archiveII,"[[2, 12], [3, 11], [4, 10], [15, 253], [16, 252], [17, 251], [18, 250], [19, 249], [22, 246], [23, 245], [24, 244], [25, 243], [26, 242], [27, 241], [28, 240], [30, 239], [31, 238], [32, 237], [33, 236], [35, 234], [36, 233], [37, 232], [42, 231], [43, 230], [44, 229], [45, 228], [46, 227], [47, 226], [48, 225], [49, 224], [50, 223], [52, 221], [53, 220], [54, 219], [55, 218], [60, 217], [61, 216], [62, 215], [63, 214], [66, 213], [67, 212], [68, 211], [69, 210], [70, 209], [71, 205], [72, 204], [73, 203], [74, 202], [75, 201], [77, 199], [78, 198], [79, 197], [82, 191], [83, 190], [84, 189], [87, 186], [88, 185], [89, 184], [90, 132], [91, 131], [92, 130], [93, 129], [94, 128], [95, 127], [97, 126], [98, 125], [100, 124], [101, 123], [102, 122], [103, 121], [104, 119], [105, 118], [106, 117], [107, 116], [108, 115], [109, 114], [138, 183], [139, 182], [140, 181], [142, 180], [143, 179], [144, 178], [145, 177], [146, 176], [150, 175], [151, 174], [152, 173], [153, 172], [157, 168], [158, 167], [159, 166], [160, 165]]",RNAfold
5s_Medicago-sativa-1,archiveII,"[[1, 118], [2, 117], [3, 116], [4, 115], [5, 114], [6, 113], [7, 112], [8, 111], [9, 110], [14, 65], [15, 64], [16, 63], [17, 61], [18, 60], [19, 59], [20, 58], [25, 52], [26, 51], [29, 48], [30, 47], [31, 46], [32, 45], [33, 42], [34, 41], [66, 109], [67, 108], [68, 107], [69, 106], [70, 105], [72, 104], [78, 98], [79, 97], [80, 96], [81, 95], [82, 94], [83, 93], [85, 92], [86, 91]]",RNAfold
tRNA_tdbR00000531-Phaseolus_vulgaris-3885-Ini-CAU,archiveII,"[[1, 71], [2, 70], [3, 69], [4, 68], [5, 67], [6, 66], [7, 65], [10, 24], [11, 23], [12, 22], [13, 21], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [48, 64], [49, 63], [50, 62], [51, 61], [52, 60]]",RNAfold
RNaseP_V.spinosum,archiveII,"[[6, 363], [7, 362], [8, 361], [10, 360], [11, 359], [12, 358], [13, 357], [14, 356], [17, 24], [18, 23], [28, 191], [29, 190], [30, 189], [31, 188], [32, 187], [33, 186], [34, 185], [35, 184], [36, 183], [37, 182], [38, 181], [43, 114], [44, 113], [45, 112], [46, 111], [47, 110], [50, 107], [51, 106], [52, 105], [54, 103], [55, 102], [56, 101], [57, 100], [58, 99], [59, 98], [65, 78], [66, 77], [67, 76], [68, 75], [69, 74], [80, 95], [81, 94], [82, 93], [83, 92], [119, 180], [120, 179], [121, 178], [122, 177], [128, 146], [129, 145], [131, 143], [132, 142], [133, 141], [148, 167], [149, 166], [150, 165], [151, 164], [154, 161], [155, 160], [193, 266], [194, 265], [195, 264], [196, 262], [197, 261], [199, 259], [200, 258], [202, 255], [203, 254], [204, 253], [205, 252], [209, 224], [210, 223], [211, 222], [212, 221], [213, 220], [227, 246], [228, 245], [229, 244], [230, 243], [231, 242], [232, 241], [233, 240], [234, 239], [267, 289], [268, 288], [270, 286], [271, 285], [272, 284], [273, 283], [274, 282], [275, 281], [291, 306], [292, 305], [293, 304], [294, 303], [295, 302], [296, 301], [307, 325], [308, 324], [309, 323], [327, 348], [328, 347], [329, 346], [330, 345], [331, 344], [332, 343], [333, 342], [334, 341], [335, 340]]",RNAfold
tRNA_tdbR00000488-Tetrahymena_thermophila-5911-Trp-CA,archiveII,"[[1, 70], [2, 69], [3, 68], [4, 67], [5, 66], [6, 65], [10, 24], [11, 23], [12, 22], [13, 21], [25, 43], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [44, 64], [45, 63], [46, 62], [47, 61], [49, 60], [50, 59], [51, 58]]",RNAfold
tmRNA_Ther.ther._TRW-300852_1-349,archiveII,"[[1, 345], [2, 344], [3, 343], [4, 342], [5, 341], [6, 340], [7, 339], [12, 314], [13, 313], [14, 312], [15, 311], [16, 310], [17, 309], [19, 307], [20, 306], [21, 305], [22, 304], [23, 302], [24, 301], [25, 300], [26, 299], [27, 298], [28, 230], [29, 229], [30, 228], [31, 203], [32, 202], [33, 201], [34, 200], [35, 199], [36, 198], [37, 197], [38, 196], [39, 195], [40, 194], [41, 193], [42, 192], [44, 190], [45, 189], [47, 183], [48, 182], [49, 181], [50, 180], [52, 179], [53, 178], [54, 177], [55, 78], [56, 77], [57, 76], [58, 75], [59, 74], [60, 73], [82, 93], [83, 92], [84, 91], [85, 90], [110, 129], [111, 128], [112, 127], [113, 126], [114, 125], [115, 124], [116, 122], [130, 170], [131, 169], [132, 168], [133, 167], [134, 166], [135, 165], [136, 162], [137, 161], [138, 160], [139, 159], [140, 158], [141, 156], [142, 155], [143, 154], [144, 153], [145, 152], [146, 151], [207, 227], [208, 226], [209, 225], [210, 222], [211, 221], [212, 220], [213, 219], [214, 218], [231, 269], [232, 268], [234, 267], [235, 266], [236, 265], [237, 264], [238, 263], [239, 262], [240, 261], [241, 260], [243, 256], [244, 255], [245, 254], [246, 253], [247, 252], [272, 282], [273, 281], [274, 280], [275, 279], [285, 296], [286, 295], [287, 294], [288, 293], [322, 338], [323, 337], [324, 336], [325, 335], [326, 334]]",RNAfold
5s_Corynebacterium-xerosis-1,archiveII,"[[2, 120], [4, 119], [5, 118], [6, 117], [7, 116], [8, 115], [9, 114], [10, 113], [11, 112], [12, 111], [17, 69], [18, 68], [19, 66], [20, 65], [21, 64], [22, 63], [23, 62], [24, 61], [26, 59], [30, 56], [31, 55], [32, 52], [33, 51], [34, 50], [35, 49], [70, 109], [71, 108], [72, 107], [74, 105], [75, 104], [80, 99], [81, 98], [82, 97], [83, 96], [84, 95], [85, 94], [86, 93], [87, 92]]",RNAfold
srp_Wolb.endo._AE017259,archiveII,"[[9, 87], [10, 86], [11, 85], [12, 84], [13, 83], [14, 82], [15, 81], [16, 80], [17, 79], [19, 76], [20, 75], [21, 74], [22, 73], [23, 72], [24, 71], [26, 67], [27, 66], [28, 65], [29, 64], [35, 60], [36, 59], [37, 58], [38, 57], [43, 52], [44, 51], [45, 50]]",RNAfold
5s_Streptomyces-brasiliensis-1,archiveII,"[[3, 118], [4, 117], [5, 116], [6, 115], [7, 114], [8, 113], [9, 112], [10, 111], [11, 110], [12, 75], [13, 74], [14, 73], [16, 70], [17, 69], [18, 68], [19, 67], [22, 32], [23, 31], [24, 30], [33, 61], [34, 60], [35, 59], [36, 58], [40, 53], [41, 52], [42, 51], [43, 50], [44, 49], [79, 98], [80, 97], [81, 96], [82, 95], [83, 94], [84, 93], [85, 92], [86, 91]]",RNAfold
srp_Desu.vulg._AE017311,archiveII,"[[1, 82], [2, 81], [3, 80], [4, 79], [5, 78], [6, 77], [7, 76], [8, 75], [9, 74], [10, 73], [12, 70], [13, 69], [14, 68], [15, 67], [16, 66], [18, 62], [19, 61], [20, 60], [21, 59], [22, 58], [23, 57], [29, 54], [30, 53], [31, 52], [37, 46], [38, 45], [39, 44]]",RNAfold
srp_Stre.pyog._BA000034,archiveII,"[[1, 92], [2, 91], [3, 90], [4, 89], [6, 87], [7, 86], [8, 85], [10, 83], [11, 82], [12, 81], [13, 80], [14, 79], [15, 78], [16, 76], [17, 75], [18, 74], [19, 73], [20, 72], [21, 71], [22, 70], [25, 64], [26, 63], [27, 62], [33, 58], [34, 57], [35, 56], [36, 55], [41, 50], [42, 49], [43, 48]]",RNAfold
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1046,archiveII,"[[1, 28], [2, 27], [3, 26], [4, 25], [6, 23], [7, 22], [8, 21], [10, 19], [29, 254], [30, 253], [31, 252], [32, 251], [34, 250], [35, 249], [36, 248], [37, 247], [39, 245], [43, 244], [44, 243], [45, 242], [46, 241], [48, 240], [49, 239], [50, 238], [51, 63], [52, 62], [53, 61], [54, 60], [66, 77], [67, 76], [68, 75], [69, 74], [78, 175], [79, 174], [80, 173], [82, 172], [83, 171], [84, 170], [85, 169], [86, 167], [87, 166], [88, 165], [89, 163], [90, 162], [91, 161], [92, 160], [93, 127], [94, 126], [95, 125], [96, 124], [97, 123], [98, 122], [101, 120], [102, 119], [103, 118], [105, 116], [106, 115], [107, 114], [108, 113], [128, 151], [129, 150], [130, 149], [132, 147], [133, 146], [134, 145], [135, 144], [136, 143], [137, 142], [176, 194], [177, 193], [178, 192], [179, 191], [180, 189], [181, 188], [182, 187], [195, 213], [196, 212], [197, 211], [198, 210], [199, 209], [200, 208], [214, 233], [215, 232], [216, 231], [217, 230], [218, 229], [219, 228], [220, 227], [221, 226]]",RNAfold
